Route_Num,Route_Name,Origin_Phonetic,Destination_Phonetic,Origin_Semantic,Destination_Semantic
226,Eastgate P&R  Crossroads  Overlake to Bellevue TC,,,,
232,Duvall to Redmond TC to Overlake TC to Bellevue TC,,,,
234,Kenmore to Kirkland TC to Bellevue TC,,,,
235,Kingsgate P&R to Kirkland TC to Bellevue TC,,,,
236,Woodinville P&R to Kirkland TC,,,,
237,Woodinville P&R to Bellevue TC,,,,
238,UW/CCC Campus Bothell Totem Lake TC Kirkland TC,,,,
240,Bellevue TC to Renton TC,,,,
241,Eastgate P&R to Bellevue TC,,,,
243,Overlake TC to Kenmore P&R,,,,
244,Kenmore P&R to Overlake TC,,,,
245,Kirkland TC to Crossroads to Factoria,,,,
246,Eastgate P&R Somerset Bellevue TC Clyde Hill,,,,
248,Avondale to Redmond TC to Kirkland TC,,,,
249,Overlake TC to South Bellevue P&R,,,,
252,Kingsgate to Downtown Seattle,,,,
255,Brickyard P&R to Kirkland TC to Downtown Seattle,,??????,,??????
257,Brickyard P&R to Downtown Seattle,,??????,,??????
268,Redmond to Downtown Seattle,,??????,,??????
269,Issaquah TC to Overlake P&R,,,,
271,Issaquah to University District,,,,
277,Juanita to University District,,,,
301,Aurora Village TC to Richmond Beach to Downtown Se,,??????,,??????
303,Shoreline - NTC - First Hill,,,,
304,Richmond Beach to Downtown Seattle,,??????,,??????
308,Horizon View to Downtown Seattle,,??????,,??????
309,Kenmore P&R to South Lake Union to First Hill,,,,
311,Woodinville to Downtown Seattle,,??????,,??????
312,UW/CCC Campus to Downtown Seattle,,??????,,??????
316,Meridian Park to Downtown Seattle,,??????,,??????
330,Shoreline Community College to Lake City,,,,
331,Shoreline CC to Aurora Village TC to Kenmore P&R,,,,
342,Shoreline P&R to Renton TC,,,,
345,Shoreline Community College to Northgate TC,,,,
346,Aurora Village TC to Northgate TC,,,,
347,Mountlake Terrace to Northgate TC,,,,
348,NTC - Richmond Beach to Northgate TC,,,,
355,Shoreline Community College to Downtown Seattle,,??????,,??????
372,UW Bothell Campus to University District,,,,
373,Aurora Village TC to University District,,,,
522,ST 522 Woodinville-Seattle,,,,
540,Kirkland University District,,,,
541,Overlake P&R to U-District,,,,
542,Redmond University District,,,,
545,Redmond Seattle,,??????,,??????
550,Bellevue Seattle,,??????,,??????
554,Issaquah Seattle,,??????,,??????
555,Issaquah Northgate,,,,
556,Issaquah University District Northgate,,,,
601,Group Health Coop - CBD,,,,
628,N Bend Issaquah Highlands,,,,
630,Mercer Island First Hill Downtown,,??????,,??????
631,Burien Community Shuttle,,,,
661,North Base Shuttle and Shoreline NE 145/I5 to SODO,,,,
773,Seacrest Park to West Seattle Junction,,,,
775,Seacrest Park to Admiral District to Alki,,,,
823,Newport High School to International School,,,,
824,Newcastle Newport High School International School,,,,
886,Bellevue High School,,,,
887,Factoria to International School,,,,
888,Eastgate P&R Interlake High International School,,,,
889,Cherry Crest Sammamish Highl International School,,,,
891,Mercer Island to South Island to M.I. High School,,,,
892,Mercer Island to Mercer Island High School,,,,
893,Totem Lake TC to Lake Washington High School,,,,
894,Mercer Island HS,,,,
895,Overlake P&R to Lake Washington High School,,,,
901,Mirror Lake to Federal Way TC,,,,
903,Twin Lakes to Federal Way TC,,,,
906,Fairwood to Southcenter,,,,
907,Enumclaw to Renton TC,,,,
908,Renton Highlands to Renton TC,,,,
910,North Auburn to SuperMall,,,,
913,Kent Rail Station to Riverview,,,,
914,Downtown Kent to Kent East Hill,,,,
915,Enumclaw to Auburn Station,,,,
916,Downtown Kent to Kent East Hill to Lake Meridian,,,,
917,Pacific to Algona to Auburn Station,,,,
930,Kingsgate P&R to Redmond Town Center,,,,
931,UW /CCC Campus to Redmond TC,,,,
952,Auburn P&R to Kennydale to Boeing Everett,,,,
973,West Seattle Water Taxi - Boat Schedule,,,,
975,Vashon Passenger-Only Ferry,,,,
980,Madison Valley to Lakeside School,,,,
981,"Lakeside School, Houghton P&R",,,,
982,Bear Creek P&R to Lakeside School,,,,
984,Lakeside School to Downtown Seattle,,??????,,??????
986,Houghton P&R to Lakeside School,,,,
987,Lakeside School to Rainier Beach,,,,
988,Madrona to Lakeside School,,,,
989,Issaquah TC to Lakeside School,,,,
994,Downtown Seattle to Lakeside School,,,,
995,Laurelhurst to Lakeside School,,,,
A Line,Federal Way TC/Tukwila International Blvd Link Sta,,,,
B Line,B-Line Rapid Ride,,,,
C Line,Westwood Village to Fauntleroy Ferry to Alaska Jun,,,,
D Line,Seattle Blue Ridge to Crown Hill to Ballard to Sea,,,,
E Line,Aurora Village to Downtown Seattle,,??????,,??????
F Line,Burien/Tukwila Int'l Blvd Link Sta/Renton Landing,,,,
LINK,LINK to Sea-Tac,,,,
Redmond LOOP,Redmond Loop,,,,
Stcr FHS,First Hill Street Car,,,,
Stcr SLU,South Lake Union Streetcar,,,,
